source_id	resource	provider_or_citation	accession_or_url	genome_build	access_date	checksum	license_or_terms	used_in	status
alphagenome	AlphaGenome API, SDK and model outputs	Avsec et al.; Google DeepMind	https://github.com/google-deepmind/alphagenome/tree/327ea82371197812b337aed8e9e75df63ce5e429	GRCh38	2026-08-01 (release audit)	SDK commit 327ea82371197812b337aed8e9e75df63ce5e429; research-code commit bb6a5276a51199d9589fc8929be6a9d946b7250b	Provider API and repository terms; prediction redistribution to be confirmed before Zenodo deposit	All model-derived panels	resolved
ucsc_hg38	GRCh38/hg38 reference genome sequence	Genome Reference Consortium; UCSC Genome Browser	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.fa.gz; assembly GCA_000001405.15	GRCh38/hg38	2026-08-01 (release audit)	Local decompressed FASTA SHA-256 5be01555d98347fdb3714dc84c6f77c9d8bc774adcf32c6f7a8fa06f5baf5e51; FASTA index SHA-256 3b425de206296a5c8053023fa5ca61da43cfe78c1737c12e58c83367c7e83c21	UCSC and Genome Reference Consortium data-use terms	Reference-sequence extraction and construct generation throughout	resolved_no_raw_redistribution
gtex_v7	GTEx v7 single-tissue cis-eQTL summary statistics	GTEx Consortium	https://gtexportal.org/home/downloads/adult-gtex/overview (GTEx_Analysis_v7_eQTL.tar.gz)	GRCh37; locus variants converted/aligned as documented by analysis	2026-08-01 (release audit)	Raw archive not retained or redistributed; release derivative outputs/source_data/Figure1C_eqtl_direct_tagging.tsv SHA-256 245a1066781bafa8942cdd1d61d355c99c96e374f047fd431ce560af03b70f09	GTEx data-use terms; users must obtain the source archive from GTEx	Fig1C; FigS2	resolved_no_raw_redistribution
1000g_phase3	1000 Genomes high-coverage GRCh38 phased genotypes and Phase 3 European sample metadata	Byrska-Bishop et al., Cell 2022; 1000 Genomes Project Consortium, Nature 2015	https://www.internationalgenome.org/data-portal/data-collection/30x-grch38; phased release https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/working/20220422_3202_phased_SNV_INDEL_SV/; Phase 3 sample panel https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/release/20130502/integrated_call_samples_v3.20130502.ALL.panel	GRCh38 genotypes; Phase 3 metadata used to select 503 unrelated European samples	2026-08-01 (release audit)	Local chr1 interval VCF SHA-256 8b5ee6b3c7956cac6af185ce55125f89dd4952da27fc31554e75ca53aeb1f3b0; 3,202-sample metadata SHA-256 4e164b717433fc9bfc16e29b20e5b4659b4216185b3275322d421fe3d323c132; Phase 3 panel SHA-256 b4023dc6ee2d62ee89c8d4d347db4d348e65518d66d346574cdae7a4bbd76858	1000 Genomes public-data terms	Fig1C; FigS2; FigS3	resolved_no_raw_redistribution
hepg2_hic	HepG2 in situ Hi-C	4D Nucleome Data Portal	4DNFICSTCJQZ; https://data.4dnucleome.org/files-processed/4DNFICSTCJQZ/	GRCh38	2026-08-01 (release audit)	14.7-GB .hic source not redistributed; accession and compact derived-table SHA-256 values are recorded in outputs/run_manifests/source_data_sha256.tsv	4DN data-portal terms; users must retrieve the source file from 4DN	Fig1D-F; FigS1; Fig4D-F; FigS10A	resolved_no_raw_redistribution
wang_2018	Primary-human-hepatocyte CRISPR repair outcomes	Wang et al., Arterioscler Thromb Vasc Biol. 2018; doi:10.1161/ATVBAHA.117.310103	PMID 29097363; PMCID PMC5746470; supplementary file atv310103_ds.xls	hg18 source coordinates; converted to GRCh38 with the documented local offset	2026-06-20	99a2d4218e3e3a9afdd04ecded3a38878c001272f42eaadc99b8c3caeeefa049	Publisher supplementary-data terms	Fig2A-C; FigS4	resolved
kircher_2019	Saturation-mutagenesis MPRA	Kircher et al., Nature Communications 2019; doi:10.1038/s41467-019-11526-w	GEO GSE126550; https://github.com/kircherlab/MPRA_SaturationMutagenesis	Element sequences mapped to GRCh38 for AlphaGenome analyses	2026-08-01 (release audit)	fec2eed91fe27af3aae07ebce2eca65e9bad4bb6abba5d8c27f478887dd7b134 (local processed elements.tsv.gz)	Article CC BY 4.0; GEO and repository terms	Fig2D-F; FigS5-S6	resolved
currin_2025	Liver chromatin-accessibility QTL summary statistics and coordinated peak sets	Currin et al., Genome Research 2025; doi:10.1101/gr.279741.124	https://zenodo.org/records/15025748; GEO GSE264684	GRCh38	2026-08-01 (release audit)	Lead variants e29cb015bd2e3bc244e81e22ceb2e91c0d62ff942f48be46c7df662f1cce2060; summary archive 8d340fea33af5630d8b918614e8c479e22d4868f90c62b163c9f985de81fa4a0	Zenodo record and GEO terms	FigS3	resolved
hpa_v24_1	Human Protein Atlas consensus tissue RNA expression	Human Protein Atlas version 24.1	https://v24.proteinatlas.org/download/rna_tissue_consensus.tsv.zip	Gene-level table using Ensembl release 109 identifiers; not coordinate-based	2025-11-06	cdedaeaf3cdfc89e22b3891ea24ae2afabc0afd26d8883076121a363608450b6 (decompressed TSV)	Human Protein Atlas data-use terms; attribution required	Fig4A-C; FigS9	resolved
gencode_v46	Gene annotations	GENCODE release 46	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_46/	GRCh38	2026-08-01 (release audit)	Raw annotation not retained or redistributed; frozen derived promoter manifest outputs/run_manifests/figure4ef_frozen_promoter_table_v1.tsv SHA-256 30c42f08509ac98789d45025a8973dfbd8235222f890f506c1bc357a653c9967	GENCODE permits free use with attribution	Gene and TSS definitions throughout	resolved_no_raw_redistribution
